CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
"Bakersfield, CA",12540,2019-01-01,107,Unhealthy for Sensitive Groups,PM2.5,06-029-0014,10
"Bakersfield, CA",12540,2019-01-02,90,Moderate,PM2.5,06-029-0014,10
"Bakersfield, CA",12540,2019-01-03,103,Unhealthy for Sensitive Groups,PM2.5,06-029-0014,13
"Bakersfield, CA",12540,2019-01-04,108,Unhealthy for Sensitive Groups,PM2.5,06-029-0014,10
"Bakersfield, CA",12540,2019-01-05,81,Moderate,PM10,06-029-0014,11
"Bakersfield, CA",12540,2019-01-06,44,Good,PM2.5,06-029-0014,13
"Bakersfield, CA",12540,2019-01-07,38,Good,NO2,06-029-2019,10
"Bakersfield, CA",12540,2019-01-08,34,Good,Ozone,06-029-5002,10
"Bakersfield, CA",12540,2019-01-09,49,Good,PM2.5,06-029-0016,13
"Bakersfield, CA",12540,2019-01-10,58,Moderate,PM2.5,06-029-0014,11
"Bakersfield, CA",12540,2019-01-11,49,Good,PM2.5,06-029-0014,11
"Bakersfield, CA",12540,2019-01-12,38,Good,Ozone,06-029-0008,12
"Bakersfield, CA",12540,2019-01-13,37,Good,Ozone,06-029-5002,10
"Bakersfield, CA",12540,2019-01-14,37,Good,Ozone,06-029-5002,10
"Bakersfield, CA",12540,2019-01-15,39,Good,Ozone,06-029-0008,12
"Bakersfield, CA",12540,2019-01-16,34,Good,Ozone,06-029-5002,11
"Bakersfield, CA",12540,2019-01-17,37,Good,Ozone,06-029-0011,10
"Bakersfield, CA",12540,2019-01-18,60,Moderate,PM2.5,06-029-0010,12
"Bakersfield, CA",12540,2019-01-19,60,Moderate,PM2.5,06-029-0014,10
"Bakersfield, CA",12540,2019-01-20,62,Moderate,PM2.5,06-029-0014,10
"Bakersfield, CA",12540,2019-01-21,39,Good,Ozone,06-029-0011,13
"Bakersfield, CA",12540,2019-01-22,40,Good,PM2.5,06-029-0014,11
"Bakersfield, CA",12540,2019-01-23,69,Moderate,PM2.5,06-029-0014,11
"Bakersfield, CA",12540,2019-01-24,92,Moderate,PM2.5,06-029-0010,12
"Bakersfield, CA",12540,2019-01-25,128,Unhealthy for Sensitive Groups,PM2.5,06-029-0014,10
"Bakersfield, CA",12540,2019-01-26,142,Unhealthy for Sensitive Groups,PM2.5,06-029-0014,10
"Bakersfield, CA",12540,2019-01-27,166,Unhealthy,PM2.5,06-029-0016,13
"Bakersfield, CA",12540,2019-01-28,144,Unhealthy for Sensitive Groups,PM2.5,06-029-0014,10
"Bakersfield, CA",12540,2019-01-29,152,Unhealthy,PM2.5,06-029-0014,11
"Bakersfield, CA",12540,2019-01-30,130,Unhealthy for Sensitive Groups,PM2.5,06-029-0010,12
"Bakersfield, CA",12540,2019-01-31,57,Moderate,PM2.5,06-029-0014,11
"Bakersfield, CA",12540,2019-02-01,45,Good,PM2.5,06-029-0014,11
"Bakersfield, CA",12540,2019-02-02,42,Good,Ozone,06-029-0008,14
"Bakersfield, CA",12540,2019-02-03,39,Good,Ozone,06-029-0011,10
"Bakersfield, CA",12540,2019-02-04,42,Good,Ozone,06-029-0011,10
"Bakersfield, CA",12540,2019-02-05,41,Good,Ozone,06-029-0011,13
"Bakersfield, CA",12540,2019-02-06,39,Good,NO2,06-029-0014,10
"Bakersfield, CA",12540,2019-02-07,41,Good,Ozone,06-029-0014,10
"Bakersfield, CA",12540,2019-02-08,59,Moderate,PM2.5,06-029-0010,15
"Bakersfield, CA",12540,2019-02-09,41,Good,Ozone,06-029-0011,12
"Bakersfield, CA",12540,2019-02-10,44,Good,Ozone,06-029-0011,10
"Bakersfield, CA",12540,2019-02-11,42,Good,Ozone,06-029-5002,13
"Bakersfield, CA",12540,2019-02-12,52,Moderate,PM2.5,06-029-0010,12
"Bakersfield, CA",12540,2019-02-13,127,Unhealthy for Sensitive Groups,PM10,06-029-0232,10
"Bakersfield, CA",12540,2019-02-14,49,Good,PM10,06-029-0014,14
"Bakersfield, CA",12540,2019-02-15,41,Good,Ozone,06-029-0011,10
"Bakersfield, CA",12540,2019-02-16,41,Good,Ozone,06-029-0011,11
"Bakersfield, CA",12540,2019-02-17,41,Good,Ozone,06-029-0011,13
"Bakersfield, CA",12540,2019-02-18,39,Good,Ozone,06-029-0011,10
"Bakersfield, CA",12540,2019-02-19,40,Good,Ozone,06-029-0008,11
"Bakersfield, CA",12540,2019-02-20,39,Good,Ozone,06-029-0011,15
"Bakersfield, CA",12540,2019-02-21,39,Good,Ozone,06-029-0011,10
"Bakersfield, CA",12540,2019-02-22,40,Good,PM2.5,06-029-0014,11
"Bakersfield, CA",12540,2019-02-23,56,Moderate,PM2.5,06-029-0010,14
"Bakersfield, CA",12540,2019-02-24,48,Good,PM2.5,06-029-0014,10
"Bakersfield, CA",12540,2019-02-25,44,Good,Ozone,06-029-0011,11
"Bakersfield, CA",12540,2019-02-26,43,Good,Ozone,06-029-0011,14
"Bakersfield, CA",12540,2019-02-27,53,Moderate,PM2.5,06-029-0014,11
"Bakersfield, CA",12540,2019-02-28,52,Moderate,PM2.5,06-029-0014,11
"Bakersfield, CA",12540,2019-03-01,59,Moderate,PM2.5,06-029-0010,13
"Bakersfield, CA",12540,2019-03-02,36,Good,Ozone,06-029-0008,10
"Bakersfield, CA",12540,2019-03-03,37,Good,Ozone,06-029-0011,10
"Bakersfield, CA",12540,2019-03-04,36,Good,Ozone,06-029-0011,15
"Bakersfield, CA",12540,2019-03-05,36,Good,Ozone,06-029-6001,11
"Bakersfield, CA",12540,2019-03-06,40,Good,Ozone,06-029-0008,10
"Bakersfield, CA",12540,2019-03-07,43,Good,Ozone,06-029-0011,12
"Bakersfield, CA",12540,2019-03-08,43,Good,Ozone,06-029-0011,10
"Bakersfield, CA",12540,2019-03-09,43,Good,Ozone,06-029-0011,10
"Bakersfield, CA",12540,2019-03-10,44,Good,Ozone,06-029-6001,14
"Bakersfield, CA",12540,2019-03-11,46,Good,PM2.5,06-029-0014,10
"Bakersfield, CA",12540,2019-03-12,42,Good,Ozone,06-029-5002,10
"Bakersfield, CA",12540,2019-03-13,62,Moderate,PM2.5,06-029-0011,13
"Bakersfield, CA",12540,2019-03-14,47,Good,Ozone,06-029-6001,10
"Bakersfield, CA",12540,2019-03-15,49,Good,PM2.5,06-029-0014,11
"Bakersfield, CA",12540,2019-03-16,59,Moderate,PM2.5,06-029-0016,15
"Bakersfield, CA",12540,2019-03-17,64,Moderate,Ozone,06-029-0008,11
"Bakersfield, CA",12540,2019-03-18,67,Moderate,Ozone,06-029-5002,11
"Bakersfield, CA",12540,2019-03-19,58,Moderate,PM10,06-029-0232,14
"Bakersfield, CA",12540,2019-03-20,45,Good,Ozone,06-029-0011,10
"Bakersfield, CA",12540,2019-03-21,45,Good,Ozone,06-029-0008,10
"Bakersfield, CA",12540,2019-03-22,48,Good,Ozone,06-029-0008,15
"Bakersfield, CA",12540,2019-03-23,46,Good,Ozone,06-029-0011,11
"Bakersfield, CA",12540,2019-03-24,49,Good,Ozone,06-029-5002,11
"Bakersfield, CA",12540,2019-03-25,77,Moderate,Ozone,06-029-0011,14
"Bakersfield, CA",12540,2019-03-26,54,Moderate,Ozone,06-029-0011,11
"Bakersfield, CA",12540,2019-03-27,39,Good,Ozone,06-029-0011,10
"Bakersfield, CA",12540,2019-03-28,44,Good,Ozone,06-029-0011,14
"Bakersfield, CA",12540,2019-03-29,45,Good,Ozone,06-029-5002,11
"Bakersfield, CA",12540,2019-03-30,49,Good,Ozone,06-029-5002,11
"Bakersfield, CA",12540,2019-03-31,54,Moderate,Ozone,06-029-5002,14
"Bakersfield, CA",12540,2019-04-01,58,Moderate,Ozone,06-029-0014,10
"Bakersfield, CA",12540,2019-04-02,51,Moderate,Ozone,06-029-0011,11
"Bakersfield, CA",12540,2019-04-03,43,Good,Ozone,06-029-5002,14
"Bakersfield, CA",12540,2019-04-04,41,Good,Ozone,06-029-0011,10
"Bakersfield, CA",12540,2019-04-05,38,Good,Ozone,06-029-5002,11
"Bakersfield, CA",12540,2019-04-06,48,Good,Ozone,06-029-0011,14
"Bakersfield, CA",12540,2019-04-07,47,Good,Ozone,06-029-0232,11
"Bakersfield, CA",12540,2019-04-08,49,Good,Ozone,06-029-0007,11
"Bakersfield, CA",12540,2019-04-09,68,Moderate,PM10,06-029-0232,14
"Bakersfield, CA",12540,2019-04-10,49,Good,Ozone,06-029-0011,10
"Bakersfield, CA",12540,2019-04-11,45,Good,Ozone,06-029-0011,10
"Bakersfield, CA",12540,2019-04-12,45,Good,Ozone,06-029-0011,12
"Bakersfield, CA",12540,2019-04-13,61,Moderate,Ozone,06-029-0008,10
"Bakersfield, CA",12540,2019-04-14,74,Moderate,Ozone,06-029-0008,10
"Bakersfield, CA",12540,2019-04-15,51,Moderate,Ozone,06-029-6001,14
"Bakersfield, CA",12540,2019-04-16,45,Good,Ozone,06-029-0011,10
"Bakersfield, CA",12540,2019-04-17,61,Moderate,Ozone,06-029-0007,11
"Bakersfield, CA",12540,2019-04-18,105,Unhealthy for Sensitive Groups,Ozone,06-029-5002,14
"Bakersfield, CA",12540,2019-04-19,115,Unhealthy for Sensitive Groups,Ozone,06-029-0007,11
"Bakersfield, CA",12540,2019-04-20,71,Moderate,Ozone,06-029-0011,11
"Bakersfield, CA",12540,2019-04-21,47,Good,Ozone,06-029-0008,14
"Bakersfield, CA",12540,2019-04-22,54,Moderate,Ozone,06-029-5002,11
"Bakersfield, CA",12540,2019-04-23,77,Moderate,Ozone,06-029-0008,12
"Bakersfield, CA",12540,2019-04-24,112,Unhealthy for Sensitive Groups,Ozone,06-029-0008,14
"Bakersfield, CA",12540,2019-04-25,105,Unhealthy for Sensitive Groups,Ozone,06-029-5002,11
"Bakersfield, CA",12540,2019-04-26,54,Moderate,Ozone,06-029-0008,11
"Bakersfield, CA",12540,2019-04-27,77,Moderate,Ozone,06-029-0008,15
"Bakersfield, CA",12540,2019-04-28,80,Moderate,Ozone,06-029-0007,11
"Bakersfield, CA",12540,2019-04-29,47,Good,Ozone,06-029-0008,11
"Bakersfield, CA",12540,2019-04-30,44,Good,Ozone,06-029-5002,14
"Bakersfield, CA",12540,2019-05-01,64,Moderate,Ozone,06-029-0011,11
"Bakersfield, CA",12540,2019-05-02,90,Moderate,Ozone,06-029-5002,11
"Bakersfield, CA",12540,2019-05-03,101,Unhealthy for Sensitive Groups,Ozone,06-029-0007,14
"Bakersfield, CA",12540,2019-05-04,100,Moderate,Ozone,06-029-0008,12
"Bakersfield, CA",12540,2019-05-05,54,Moderate,Ozone,06-029-0008,11
"Bakersfield, CA",12540,2019-05-06,45,Good,Ozone,06-029-0011,14
"Bakersfield, CA",12540,2019-05-07,54,Moderate,PM2.5,06-029-0011,11
"Bakersfield, CA",12540,2019-05-08,74,Moderate,Ozone,06-029-5002,11
"Bakersfield, CA",12540,2019-05-09,67,Moderate,Ozone,06-029-5002,15
"Bakersfield, CA",12540,2019-05-10,48,Good,Ozone,06-029-0008,11
"Bakersfield, CA",12540,2019-05-11,87,Moderate,Ozone,06-029-0008,11
"Bakersfield, CA",12540,2019-05-12,119,Unhealthy for Sensitive Groups,Ozone,06-029-0007,14
"Bakersfield, CA",12540,2019-05-13,77,Moderate,Ozone,06-029-0011,11
"Bakersfield, CA",12540,2019-05-14,93,Moderate,Ozone,06-029-5002,11
"Bakersfield, CA",12540,2019-05-15,50,Good,Ozone,06-029-0011,15
"Bakersfield, CA",12540,2019-05-16,46,Good,Ozone,06-029-0011,10
"Bakersfield, CA",12540,2019-05-17,46,Good,Ozone,06-029-0008,11
"Bakersfield, CA",12540,2019-05-18,48,Good,Ozone,06-029-0007,14
"Bakersfield, CA",12540,2019-05-19,45,Good,Ozone,06-029-0011,9
"Bakersfield, CA",12540,2019-05-20,50,Good,Ozone,06-029-0008,11
"Bakersfield, CA",12540,2019-05-21,44,Good,Ozone,06-029-0011,15
"Bakersfield, CA",12540,2019-05-22,40,Good,Ozone,06-029-0011,9
"Bakersfield, CA",12540,2019-05-23,40,Good,Ozone,06-029-0007,10
"Bakersfield, CA",12540,2019-05-24,45,Good,Ozone,06-029-5002,14
"Bakersfield, CA",12540,2019-05-25,50,Good,Ozone,06-029-0008,11
"Bakersfield, CA",12540,2019-05-26,43,Good,Ozone,06-029-0008,10
"Bakersfield, CA",12540,2019-05-27,44,Good,Ozone,06-029-0008,15
"Bakersfield, CA",12540,2019-05-28,44,Good,Ozone,06-029-0008,11
"Bakersfield, CA",12540,2019-05-29,64,Moderate,Ozone,06-029-0007,11
"Bakersfield, CA",12540,2019-05-30,100,Moderate,Ozone,06-029-0007,14
"Bakersfield, CA",12540,2019-05-31,80,Moderate,Ozone,06-029-0007,11
"Bakersfield, CA",12540,2019-06-01,101,Unhealthy for Sensitive Groups,Ozone,06-029-5002,11
"Bakersfield, CA",12540,2019-06-02,87,Moderate,Ozone,06-029-5002,15
"Bakersfield, CA",12540,2019-06-03,105,Unhealthy for Sensitive Groups,Ozone,06-029-0007,11
"Bakersfield, CA",12540,2019-06-04,150,Unhealthy for Sensitive Groups,Ozone,06-029-0014,11
"Bakersfield, CA",12540,2019-06-05,143,Unhealthy for Sensitive Groups,Ozone,06-029-0007,14
"Bakersfield, CA",12540,2019-06-06,80,Moderate,Ozone,06-029-0011,11
"Bakersfield, CA",12540,2019-06-07,77,Moderate,Ozone,06-029-0014,11
"Bakersfield, CA",12540,2019-06-08,87,Moderate,Ozone,06-029-0014,15
"Bakersfield, CA",12540,2019-06-09,115,Unhealthy for Sensitive Groups,Ozone,06-029-0014,11
"Bakersfield, CA",12540,2019-06-10,119,Unhealthy for Sensitive Groups,Ozone,06-029-0014,11
"Bakersfield, CA",12540,2019-06-11,126,Unhealthy for Sensitive Groups,Ozone,06-029-0014,14
"Bakersfield, CA",12540,2019-06-12,101,Unhealthy for Sensitive Groups,Ozone,06-029-0014,10
"Bakersfield, CA",12540,2019-06-13,100,Moderate,Ozone,06-029-0014,11
"Bakersfield, CA",12540,2019-06-14,74,Moderate,Ozone,06-029-0014,15
"Bakersfield, CA",12540,2019-06-15,93,Moderate,Ozone,06-029-0014,11
"Bakersfield, CA",12540,2019-06-16,90,Moderate,Ozone,06-029-0014,11
"Bakersfield, CA",12540,2019-06-17,133,Unhealthy for Sensitive Groups,Ozone,06-029-0014,14
"Bakersfield, CA",12540,2019-06-18,136,Unhealthy for Sensitive Groups,Ozone,06-029-0014,11
"Bakersfield, CA",12540,2019-06-19,140,Unhealthy for Sensitive Groups,Ozone,06-029-0007,10
"Bakersfield, CA",12540,2019-06-20,80,Moderate,Ozone,06-029-0011,14
"Bakersfield, CA",12540,2019-06-21,67,Moderate,Ozone,06-029-0014,10
"Bakersfield, CA",12540,2019-06-22,90,Moderate,Ozone,06-029-0014,10
"Bakersfield, CA",12540,2019-06-23,101,Unhealthy for Sensitive Groups,Ozone,06-029-0014,13
"Bakersfield, CA",12540,2019-06-24,105,Unhealthy for Sensitive Groups,Ozone,06-029-0014,10
"Bakersfield, CA",12540,2019-06-25,93,Moderate,Ozone,06-029-0007,10
"Bakersfield, CA",12540,2019-06-26,53,Moderate,PM2.5,06-029-0016,14
"Bakersfield, CA",12540,2019-06-27,54,Moderate,Ozone,06-029-0007,10
"Bakersfield, CA",12540,2019-06-28,80,Moderate,Ozone,06-029-0007,10
"Bakersfield, CA",12540,2019-06-29,97,Moderate,Ozone,06-029-0007,13
"Bakersfield, CA",12540,2019-06-30,93,Moderate,Ozone,06-029-0008,10
"Bakersfield, CA",12540,2019-07-01,90,Moderate,Ozone,06-029-0011,11
"Bakersfield, CA",12540,2019-07-02,77,Moderate,Ozone,06-029-0008,15
"Bakersfield, CA",12540,2019-07-03,74,Moderate,Ozone,06-029-5002,11
"Bakersfield, CA",12540,2019-07-04,106,Unhealthy for Sensitive Groups,PM2.5,06-029-0014,11
"Bakersfield, CA",12540,2019-07-05,115,Unhealthy for Sensitive Groups,Ozone,06-029-0011,14
"Bakersfield, CA",12540,2019-07-06,105,Unhealthy for Sensitive Groups,Ozone,06-029-0011,11
"Bakersfield, CA",12540,2019-07-07,64,Moderate,Ozone,06-029-0011,11
"Bakersfield, CA",12540,2019-07-08,54,Moderate,Ozone,06-029-0007,15
"Bakersfield, CA",12540,2019-07-09,77,Moderate,Ozone,06-029-0007,11
"Bakersfield, CA",12540,2019-07-10,97,Moderate,Ozone,06-029-0007,11
"Bakersfield, CA",12540,2019-07-11,87,Moderate,Ozone,06-029-0007,14
"Bakersfield, CA",12540,2019-07-12,80,Moderate,Ozone,06-029-5002,11
"Bakersfield, CA",12540,2019-07-13,126,Unhealthy for Sensitive Groups,Ozone,06-029-0007,11
"Bakersfield, CA",12540,2019-07-14,74,Moderate,Ozone,06-029-0007,14
"Bakersfield, CA",12540,2019-07-15,74,Moderate,Ozone,06-029-5002,11
"Bakersfield, CA",12540,2019-07-16,46,Good,Ozone,06-029-0007,11
"Bakersfield, CA",12540,2019-07-17,48,Good,Ozone,06-029-0008,15
"Bakersfield, CA",12540,2019-07-18,64,Moderate,Ozone,06-029-0007,12
"Bakersfield, CA",12540,2019-07-19,61,Moderate,Ozone,06-029-5002,12
"Bakersfield, CA",12540,2019-07-20,80,Moderate,Ozone,06-029-0007,15
"Bakersfield, CA",12540,2019-07-21,97,Moderate,Ozone,06-029-0007,12
"Bakersfield, CA",12540,2019-07-22,133,Unhealthy for Sensitive Groups,Ozone,06-029-0007,12
"Bakersfield, CA",12540,2019-07-23,108,Unhealthy for Sensitive Groups,Ozone,06-029-0007,14
"Bakersfield, CA",12540,2019-07-24,126,Unhealthy for Sensitive Groups,Ozone,06-029-0007,12
"Bakersfield, CA",12540,2019-07-25,156,Unhealthy,Ozone,06-029-0014,12
"Bakersfield, CA",12540,2019-07-26,97,Moderate,Ozone,06-029-0008,15
"Bakersfield, CA",12540,2019-07-27,122,Unhealthy for Sensitive Groups,Ozone,06-029-5002,12
"Bakersfield, CA",12540,2019-07-28,115,Unhealthy for Sensitive Groups,Ozone,06-029-0008,12
"Bakersfield, CA",12540,2019-07-29,105,Unhealthy for Sensitive Groups,Ozone,06-029-0008,15
"Bakersfield, CA",12540,2019-07-30,101,Unhealthy for Sensitive Groups,Ozone,06-029-0007,12
"Bakersfield, CA",12540,2019-07-31,126,Unhealthy for Sensitive Groups,Ozone,06-029-0007,12
"Bakersfield, CA",12540,2019-08-01,101,Unhealthy for Sensitive Groups,Ozone,06-029-0008,15
"Bakersfield, CA",12540,2019-08-02,93,Moderate,Ozone,06-029-0011,12
"Bakersfield, CA",12540,2019-08-03,112,Unhealthy for Sensitive Groups,Ozone,06-029-0007,12
"Bakersfield, CA",12540,2019-08-04,126,Unhealthy for Sensitive Groups,Ozone,06-029-0007,15
"Bakersfield, CA",12540,2019-08-05,105,Unhealthy for Sensitive Groups,Ozone,06-029-0007,12
"Bakersfield, CA",12540,2019-08-06,122,Unhealthy for Sensitive Groups,Ozone,06-029-0232,11
"Bakersfield, CA",12540,2019-08-07,147,Unhealthy for Sensitive Groups,Ozone,06-029-0007,15
"Bakersfield, CA",12540,2019-08-08,122,Unhealthy for Sensitive Groups,Ozone,06-029-5002,12
"Bakersfield, CA",12540,2019-08-09,97,Moderate,Ozone,06-029-5002,12
"Bakersfield, CA",12540,2019-08-10,49,Good,Ozone,06-029-5002,15
"Bakersfield, CA",12540,2019-08-11,44,Good,Ozone,06-029-0011,12
"Bakersfield, CA",12540,2019-08-12,100,Moderate,Ozone,06-029-5002,12
"Bakersfield, CA",12540,2019-08-13,140,Unhealthy for Sensitive Groups,Ozone,06-029-5002,15
"Bakersfield, CA",12540,2019-08-14,151,Unhealthy,Ozone,06-029-5002,12
"Bakersfield, CA",12540,2019-08-15,147,Unhealthy for Sensitive Groups,Ozone,06-029-5002,12
"Bakersfield, CA",12540,2019-08-16,122,Unhealthy for Sensitive Groups,Ozone,06-029-0007,15
"Bakersfield, CA",12540,2019-08-17,64,Moderate,Ozone,06-029-0011,12
"Bakersfield, CA",12540,2019-08-18,49,Good,Ozone,06-029-5002,12
"Bakersfield, CA",12540,2019-08-19,84,Moderate,Ozone,06-029-5002,14
"Bakersfield, CA",12540,2019-08-20,108,Unhealthy for Sensitive Groups,Ozone,06-029-5002,11
"Bakersfield, CA",12540,2019-08-21,90,Moderate,Ozone,06-029-5002,11
"Bakersfield, CA",12540,2019-08-22,115,Unhealthy for Sensitive Groups,Ozone,06-029-5002,14
"Bakersfield, CA",12540,2019-08-23,122,Unhealthy for Sensitive Groups,Ozone,06-029-0007,11
"Bakersfield, CA",12540,2019-08-24,100,Moderate,Ozone,06-029-5002,11
"Bakersfield, CA",12540,2019-08-25,105,Unhealthy for Sensitive Groups,Ozone,06-029-0007,14
"Bakersfield, CA",12540,2019-08-26,90,Moderate,Ozone,06-029-5002,11
"Bakersfield, CA",12540,2019-08-27,147,Unhealthy for Sensitive Groups,Ozone,06-029-0007,11
"Bakersfield, CA",12540,2019-08-28,126,Unhealthy for Sensitive Groups,Ozone,06-029-5002,13
"Bakersfield, CA",12540,2019-08-29,105,Unhealthy for Sensitive Groups,Ozone,06-029-5002,10
"Bakersfield, CA",12540,2019-08-30,108,Unhealthy for Sensitive Groups,Ozone,06-029-0007,10
"Bakersfield, CA",12540,2019-08-31,133,Unhealthy for Sensitive Groups,Ozone,06-029-0007,14
"Bakersfield, CA",12540,2019-09-01,122,Unhealthy for Sensitive Groups,Ozone,06-029-0007,11
"Bakersfield, CA",12540,2019-09-02,112,Unhealthy for Sensitive Groups,PM10,06-029-0018,11
"Bakersfield, CA",12540,2019-09-03,112,Unhealthy for Sensitive Groups,Ozone,06-029-5002,13
"Bakersfield, CA",12540,2019-09-04,150,Unhealthy for Sensitive Groups,Ozone,06-029-0007,9
"Bakersfield, CA",12540,2019-09-05,119,Unhealthy for Sensitive Groups,Ozone,06-029-0007,9
"Bakersfield, CA",12540,2019-09-06,100,Moderate,Ozone,06-029-0007,12
"Bakersfield, CA",12540,2019-09-07,122,Unhealthy for Sensitive Groups,PM10,06-029-0232,10
"Bakersfield, CA",12540,2019-09-08,84,Moderate,PM10,06-029-0011,10
"Bakersfield, CA",12540,2019-09-09,50,Good,Ozone,06-029-0011,12
"Bakersfield, CA",12540,2019-09-10,48,Good,Ozone,06-029-0011,11
"Bakersfield, CA",12540,2019-09-11,61,Moderate,Ozone,06-029-0007,11
"Bakersfield, CA",12540,2019-09-12,108,Unhealthy for Sensitive Groups,Ozone,06-029-5002,13
"Bakersfield, CA",12540,2019-09-13,136,Unhealthy for Sensitive Groups,Ozone,06-029-0007,12
"Bakersfield, CA",12540,2019-09-14,151,Unhealthy,Ozone,06-029-0007,12
"Bakersfield, CA",12540,2019-09-15,97,Moderate,Ozone,06-029-0008,15
"Bakersfield, CA",12540,2019-09-16,64,Moderate,PM10,06-029-0232,12
"Bakersfield, CA",12540,2019-09-17,49,Good,Ozone,06-029-0232,12
"Bakersfield, CA",12540,2019-09-18,67,Moderate,Ozone,06-029-0007,15
"Bakersfield, CA",12540,2019-09-19,64,Moderate,PM2.5,06-029-0011,12
"Bakersfield, CA",12540,2019-09-20,50,Good,PM10,06-029-0232,10
"Bakersfield, CA",12540,2019-09-21,77,Moderate,Ozone,06-029-0007,14
"Bakersfield, CA",12540,2019-09-22,101,Unhealthy for Sensitive Groups,Ozone,06-029-0007,11
"Bakersfield, CA",12540,2019-09-23,67,Moderate,Ozone,06-029-0007,10
"Bakersfield, CA",12540,2019-09-24,84,Moderate,Ozone,06-029-0007,14
"Bakersfield, CA",12540,2019-09-25,101,Unhealthy for Sensitive Groups,Ozone,06-029-6001,12
"Bakersfield, CA",12540,2019-09-26,100,Moderate,Ozone,06-029-0007,12
"Bakersfield, CA",12540,2019-09-27,64,Moderate,Ozone,06-029-0011,15
"Bakersfield, CA",12540,2019-09-28,52,Moderate,PM10,06-029-0017,12
"Bakersfield, CA",12540,2019-09-29,38,Good,Ozone,06-029-0011,12
"Bakersfield, CA",12540,2019-09-30,46,Good,PM10,06-029-0232,15
"Bakersfield, CA",12540,2019-10-01,54,Moderate,PM10,06-029-0232,11
"Bakersfield, CA",12540,2019-10-02,73,Moderate,PM10,06-029-0232,11
"Bakersfield, CA",12540,2019-10-03,87,Moderate,Ozone,06-029-0011,14
"Bakersfield, CA",12540,2019-10-04,69,Moderate,PM10,06-029-0232,11
"Bakersfield, CA",12540,2019-10-05,67,Moderate,Ozone,06-029-0007,12
"Bakersfield, CA",12540,2019-10-06,108,Unhealthy for Sensitive Groups,Ozone,06-029-0007,15
"Bakersfield, CA",12540,2019-10-07,119,Unhealthy for Sensitive Groups,Ozone,06-029-0008,11
"Bakersfield, CA",12540,2019-10-08,129,Unhealthy for Sensitive Groups,Ozone,06-029-0007,12
"Bakersfield, CA",12540,2019-10-09,105,Unhealthy for Sensitive Groups,Ozone,06-029-0011,15
"Bakersfield, CA",12540,2019-10-10,90,Moderate,PM10,06-029-0232,10
"Bakersfield, CA",12540,2019-10-11,77,Moderate,PM10,06-029-0232,11
"Bakersfield, CA",12540,2019-10-12,61,Moderate,Ozone,06-029-0008,13
"Bakersfield, CA",12540,2019-10-13,80,Moderate,Ozone,06-029-0008,10
"Bakersfield, CA",12540,2019-10-14,100,Moderate,Ozone,06-029-0008,10
"Bakersfield, CA",12540,2019-10-15,108,Unhealthy for Sensitive Groups,Ozone,06-029-0008,13
"Bakersfield, CA",12540,2019-10-16,122,Unhealthy for Sensitive Groups,Ozone,06-029-0008,12
"Bakersfield, CA",12540,2019-10-17,119,Unhealthy for Sensitive Groups,PM10,06-029-0011,12
"Bakersfield, CA",12540,2019-10-18,59,Moderate,PM10,06-029-0010,15
"Bakersfield, CA",12540,2019-10-19,47,Good,PM10,06-029-0232,12
"Bakersfield, CA",12540,2019-10-20,41,Good,Ozone,06-029-0011,12
"Bakersfield, CA",12540,2019-10-21,61,Moderate,Ozone,06-029-0016,14
"Bakersfield, CA",12540,2019-10-22,84,Moderate,Ozone,06-029-0007,11
"Bakersfield, CA",12540,2019-10-23,108,Unhealthy for Sensitive Groups,Ozone,06-029-0007,11
"Bakersfield, CA",12540,2019-10-24,93,Moderate,Ozone,06-029-0007,14
"Bakersfield, CA",12540,2019-10-25,71,Moderate,Ozone,06-029-6001,11
"Bakersfield, CA",12540,2019-10-26,87,Moderate,Ozone,06-029-0007,12
"Bakersfield, CA",12540,2019-10-27,240,Very Unhealthy,PM10,06-029-0232,12
"Bakersfield, CA",12540,2019-10-28,140,Unhealthy for Sensitive Groups,PM10,06-029-0232,11
"Bakersfield, CA",12540,2019-10-29,102,Unhealthy for Sensitive Groups,PM10,06-029-0232,11
"Bakersfield, CA",12540,2019-10-30,548,Hazardous,PM10,06-029-0010,14
"Bakersfield, CA",12540,2019-10-31,72,Moderate,PM10,06-029-0232,10
"Bakersfield, CA",12540,2019-11-01,77,Moderate,PM10,06-029-0232,10
"Bakersfield, CA",12540,2019-11-02,93,Moderate,PM2.5,06-029-0016,14
"Bakersfield, CA",12540,2019-11-03,97,Moderate,Ozone,06-029-0007,11
"Bakersfield, CA",12540,2019-11-04,105,Unhealthy for Sensitive Groups,Ozone,06-029-0008,11
"Bakersfield, CA",12540,2019-11-05,93,Moderate,Ozone,06-029-0008,15
"Bakersfield, CA",12540,2019-11-06,108,Unhealthy for Sensitive Groups,Ozone,06-029-0008,12
"Bakersfield, CA",12540,2019-11-07,122,Unhealthy for Sensitive Groups,Ozone,06-029-0008,12
"Bakersfield, CA",12540,2019-11-08,129,Unhealthy for Sensitive Groups,PM2.5,06-029-0016,14
"Bakersfield, CA",12540,2019-11-09,133,Unhealthy for Sensitive Groups,Ozone,06-029-0008,11
"Bakersfield, CA",12540,2019-11-10,115,Unhealthy for Sensitive Groups,Ozone,06-029-0008,12
